Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
CASPER,Nirvana X600.1235-8V00X-G-F Intel Core i5-1235U 8GB RAM 500GB NVME SSD Freedos,1,3,4.0,16.399 TL,500 GB,8 GB,,Intel Core i5,Dahili,10,128 GB,,DDR4,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Dahili Ekran Kartı,3.9,Blu-Ray Okuyucu,,Casper Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,6 Saat ve Üstü,60 Hz,1235U,12. Nesil,Yok,,Gri,4.4,Full HD (FHD),,,,,
CASPER,Nirvana X600.1235-DF00X-K-F Intel Core i5-1235U 32GB RAM 1TB NVME SSD Gen4 Freedos Kuvars,6,3,3.7,19.599 TL,1 TB,32 GB,,Intel Core i5,Dahili,10,,,DDR4,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Dahili Ekran Kartı,,,,Casper Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,60 Hz,1235U,12. Nesil,Yok,,Çok Renkli,,Full HD (FHD),,,,,
IZOLY,"Busıness Swift Xt I5-3470 16gb 256gb 22""masaüstü Bilgisayarı",28,98,4.8,6.399 TL,256 GB,16 GB,256 GB,Intel Core i5,Dahili,4,16 GB,3.00 GHz üstü,DDR3,250 - 350 W,Paylaşımlı,Free Dos,Dahili,HDMI,,Dahili Ekran Kartı,3.1,Yok,Var,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,HDD Yok,"21,5 inç",1920 x 1080,Ofis - İş,4-6 Saat,,3470,3. Nesil,Yok,TN,Siyah,,,,,,,
ASUS,"ExpertBook B1 B1502CBA-I58512B0D08 i5-1235U 8GB 512SSD 15.6"" FullHD W11P Taşınabilir Bilgisayar",1,1,5.0,16.499 TL,512 GB,8 GB,,Intel Core i5,Dahili,10,64 GB,,DDR4,,Paylaşımlı,Windows,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Dahili Ekran Kartı,,Yok,,Resmi Distribütör Garantili,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ev - Okul,,60 Hz,1235U,12. Nesil,Yok,IPS,Siyah,,Full HD (FHD),,,,,
RAMTECH,Fullforce Ff97 I5 4570 16gb Ram 256 Gb Ssd 500 Gb Hdd 4gb Gtx 1650 Oyuncu Pc,3,61,4.7,,256 GB,16 GB,Yok,Intel Core i5,Harici,4,16 GB,3.00 GHz üstü,DDR3,500 W ve üstü,4 GB ve altı,Free Dos,DDR5,HDMI,4 kg ve üzeri,Nvidia GeForce GTX 1650,3.2,Yok,Var,Resmi Distribütör Garantili,Yok,2 Yıl,500 GB,,1920 x 1080,,,,,,,,,,,,,,,
ASUS,"X515MA Celeron N4020 4gb Ram 512gb Ssd 15,6'' Full HD Win11 + Çanta",2,4,5.0,9.749 TL,512 GB,4 GB,,Intel Celeron,Dahili,4,,,DDR4,,Paylaşımlı,Windows,DDR4,USB - Bluetooth - HDMI,2 - 4 kg,Intel UHD Graphics,,Yok,,Asus Türkiye Garantili,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,4-6 Saat,Belirtilmemiş,N4020,4. Nesil,Yok,IPS,Gri,2.8,Full HD (FHD),,,,,
LENOVO,"Thinkpad E14 Gen 2 Core I5 1135g7 8gb 256gb Ssd 2gb Mx450 Freedos 14"" Fhd 20ta0054tx",5,9,4.2,"33.605,21 TL",256 GB,8 GB,,Intel Core i5,Harici,4,,,DDR4,,4 GB ve altı,Free Dos,GDDR5,Bluetooth,2 kg ve altı,Nvidia GeForce MX450,2.4,Yok,,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,HDD Yok,14 inç,1920 x 1080,Oyun,3 Saat ve Altı,Belirtilmemiş,1135G7,11. Nesil,Yok,IPS,Siyah,,Full HD (FHD),,,,,
RAMTECH,DG-İ7-208 İ7-2600 16GB RAM 240GB SSD 500GB HDD GT 740 4GB MASAÜSTÜ GAMİNG PC,3,9,5.0,"7.300,75 TL",240 GB,16 GB,Yok,Intel Core i7,Harici,4,16 GB,3.00 GHz üstü,DDR3,350 - 500 W,4 GB ve altı,Free Dos,DDR5,,4 kg ve üzeri,Nvidia Geforce GT 740,3.4,Yok,,Resmi Distribütör Garantili,Yok,2 Yıl,HDD Yok,,,Oyun,,,2600,2. Nesil,,,Siyah,,,,,,,
RAMTECH,"Workforce Wf158 I5 3470 16gb Ram 256gb Ssd 500gb Hdd 23,6 Masaüstü Ofis Bilgisayarı",7,65,4.7,,256 GB,16 GB,500 GB,Intel Core i5,,,,,DDR3,350 - 500 W,,Free Dos,Dahili,,,Intel HD Graphics,,Yok,Var,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,,23.5 inç,1920 x 1080,Ofis - İş,,75 Hz,3470,3. Nesil,,,Siyah,,,,,,,
IZOLY,"Kadabra Y i5-12400F 16GB 256GB M.2 NVMe RX 580 8GB 27"" 165Hz Oyuncu Masaüstü Bilgisayarı",7,53,4.9,21.999 TL,256 GB,16 GB,Yok,Intel Core i5,Harici,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR5,HDMI,2 - 4 kg,AMD Radeon RX 580,2.5,Yok,Var,İzoly Türkiye Garantisi,Q Türkçe,2 Yıl,HDD Yok,25 + inç,1920 x 1080,,,,,,,VA,,,,,,,,
HP,Victus Gaming Ryzen 7 16 Gb Ram Nvıdıa Geforce Rtx 4070 Dizüstü Bilgisayar,1,8,5.0,,512 GB,16 GB,,AMD Ryzen 7,Harici,8,16 GB,,DDR5,,8 GB,Free Dos,GDDR6,USB,2 - 4 kg,Nvidia GeForce RTX 4070,5.1,,,HP Türkiye Garantili,Q Türkçe (Aydınlatmasız),2 Yıl,HDD Yok,"16,1 inç",1920 x 1080,Oyun,6 Saat ve Üstü,144 Hz,7840HS,7. Nesil,Yok,IPS,MAVİ,5.0,Full HD (FHD),,,,,
LENOVO,"Nb V15 Ryzen 5-7520u 16gb 512ssd Windows 11 Pro 15.6"" Fhd 82yu00qytxax2",1,5,5.0,15.899 TL,512 GB,16 GB,,AMD Ryzen 5,Dahili,4,,,DDR4,,Paylaşımlı,Windows,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Dahili Ekran Kartı,,,,Resmi Distribütör Garantili,Q Türkçe (Aydınlatmasız),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,60 Hz,7520U,7. Nesil,Yok,,Gri,,Full HD (FHD),,,,,
RAMTECH,PRİZMA X40 i5 6500/32GB RAM/RX 580 8GB 256B/1TB NVME M2 SSD 1MS 165HZ 23.6 PİVOT OYUNCU BİLGİSAYARI,1,26,3.0,,1 TB,32 GB,32 GB,Intel Core i5,Harici,4,,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR5,,,AMD Radeon RX 580,3.2,Yok,Var,Resmi Distribütör Garantili,Yok,2 Yıl,HDD Yok,22 - 24 inç,1920 x 1080,,,165 Hz,,,,IPS,,,,,,,,
Zeiron,Tsx80 Ryzen 5 3600 32GB 512GB M.2 SSD+1TB HDD Rx580 8GB Masaüstü Oyuncu Bilgisayarı,5,23,5.0,16.299 TL,512 GB,32 GB,1 TB,AMD Ryzen 5,Harici,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR5,Wi-Fi,4 kg ve üzeri,AMD Radeon RX 580,3.6,Yok,Var,Resmi Distribütör Garantili,,2 Yıl,1 TB,,,,,,,,,,,,,Tek Ebat,,,,
LENOVO,"V15 G3 Iap Intel Core™ I5-1235U 40GB 1 TBSSD 15.6"" FHD FreeDos 82TT00A5TX BT14",2,13,5.0,18.799 TL,1 TB,40 GB,,Intel Core i5,Dahili,10,,,DDR4,,Paylaşımlı,Free Dos,Belirtilmemiş,HDMI,2 kg ve altı,Intel Iris Graphics,3.3,Yok,,Lenovo Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,Belirtilmemiş,1235U,12. Nesil,Yok,TN,Gri,4.4,Full HD (FHD),,,,,
HP,"250 G10 8A538EA02 i5-1335U 16GB 512SSD 15.6"" FullHD FreeDOS Taşınabilir Bilgisayar-CNT002",1,9,2.0,17.499 TL,512 GB,16 GB,,Intel Core i5,Dahili,10,64 GB,,DDR4,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Intel Iris Graphics,1.3,Yok,,Resmi Distribütör Garantili,Q Türkçe (Aydınlatmalı),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,3 Saat ve Altı,60 Hz,Belirtilmemiş,13. Nesil,Yok,,Gri,4.6,Full HD (FHD),,,,,
TURBOX,Tx5195 i5 750 16GB Ram 256GB SSD 4GB GT740 23.6 inç Curved Masaüstü Oyun Bilgisayarı,1,22,5.0,,256 GB,16 GB,256 GB,Intel Core i5,Harici,4,,,,,4 GB ve altı,Free Dos,DDR3,,,Nvidia Geforce GT 740,,Yok,,Resmi Distribütör Garantili,,2 Yıl,HDD Yok,,,,,,,,,,,,,,,,,
LENOVO,"IdeaPad 1 Intel Celeron N4020 4GB 256GB SSD W11 15.6 "" Bilgisayar Csrtech Çanta H.",1,19,3.0,8.756 TL,256 GB,4 GB,,Intel Celeron,Dahili,2,,,DDR4,,Paylaşımlı,Windows,Dahili,HDMI - USB,2 kg ve altı,Intel UHD Graphics,1.1,Yok,,Lenovo Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,4-6 Saat,60 Hz,N4020,9. Nesil,Yok,TN,Metalik,2.8,HD Ready (HD),,,,,
ASUS,"EXPERTBOOK B1502CBA-I78512B0DE4 I7-1255U 24GB 512GB 15.6"" FHD FREEDOS",1,3,5.0,23.999 TL,512 GB,24 GB,,Intel Core i7,Dahili,10,,,DDR4,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 - 4 kg,Intel XE Graphics,1.7,Yok,,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,4-6 Saat,60 Hz,1255U,12. Nesil,Yok,,Gri,4.7,Full HD (FHD),,,,,
ACER,"Aspire 3 A315-35-C8YJ15 Intel Celeron 4500 UMA 16GB RAM 1TB SSD 15,6''FHD Windows 11 + ÇANTA",1,5,4.0,12.499 TL,1 TB,16 GB,,Intel Celeron,Dahili,Belirtilmemiş,,,DDR4,,Paylaşımlı,Windows,DDR4,USB - Bluetooth - HDMI,2 - 4 kg,Dahili Ekran Kartı,,Yok,,ACER Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ev - Okul,,Belirtilmemiş,4500U,Belirtilmemiş,Yok,,Gri,2.1,Full HD (FHD),,,,,
Apple,"Macbook Air M2 8c Cpu 10c Gpu 16gb 256 Gb Ssd 13.6"" Uzay Grisi Z15sm2jv16256",6,7,4.7,62.000 TL,256 GB,16 GB,,,Dahili,8,,,DDR4,,Paylaşımlı,Mac Os,Belirtilmemiş,Bluetooth,2 kg ve altı,M2 8 Çekirdekli,,Yok,,Apple Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"13,6 inç",2560 x 1664,Tasarım,6 Saat ve Üstü,60 Hz,Belirtilmemiş,Belirtilmemiş,Yok,IPS,Gri,,Retina,,,,,
ACER,"Aspire 3 A315-24 Amd Ryzen R3-7320u 4gb 256gb Ssd Freedos 15.6"" Taşınabilir Bilgisayar",4,30,3.0,9.999 TL,256 GB,4 GB,,AMD Ryzen 3,Dahili,4,,,LPDDR5,,Paylaşımlı,Free Dos,Belirtilmemiş,HDMI,2 kg ve altı,AMD Radeon Graphics,2.4,Yok,,ACER Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,60 Hz,7320U,3. Nesil,Yok,,Gri,4.1,Full HD (FHD),,,,,
IZOLY,"Swift X I5-3470 8gb 256gb Ssd 22"" Masaüstü Bilgisayar",33,140,4.7,6.199 TL,256 GB,8 GB,Yok,Intel Core i5,Dahili,4,16 GB,3.00 GHz üstü,DDR3,250 - 350 W,Paylaşımlı,Free Dos,Dahili,HDMI,4 kg ve üzeri,Dahili Ekran Kartı,3.2,Yok,Var,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,8 GB,22 inç,1920 x 1080,Ofis - İş,,75 Hz,İ5-3470,3. Nesil,Yok,VA,Siyah,,Full HD (FHD),,,,,
MONSTER,"Huma H4 V5.2.10 Intel Core I7-1255u 32 Gb Ram 1 Tb Ssd Freedos 14,1"" Fhd",7,26,5.0,32.002 TL,1 TB,32 GB,,Intel Core i7,Dahili,10,64 GB,,DDR4,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Dahili Ekran Kartı,1.7,Yok,,Monster Türkiye Garantili,Q Türkçe (Aydınlatmalı),2 Yıl,HDD Yok,"14,1 inç",1920 x 1080,Ofis - İş,4-6 Saat,60 Hz,1255U,12. Nesil,Yok,IPS,Gümüş,4.7,Full HD (FHD),,,,,
LENOVO,Thinkpad E15 G4 21e6005ltx I5-1235u 16gb 512gb Ssd 15.6'' W11pro,4,5,5.0,"34.663,80 TL",,,,Intel Core i5,Dahili,10,32 GB,,DDR4,,Paylaşımlı,Windows,Dahili,Bluetooth,2 kg ve altı,Intel Iris Graphics,1.3,Yok,,Lenovo Türkiye Garantili,Q Türkçe (Aydınlatmalı),2 Yıl,512 GB,"15,6 inç",1920 x 1080,Ofis - İş,4-6 Saat,60 Hz,1235U,12. Nesil,Yok,IPS,Siyah,4.4,Full HD (FHD),,,,,
TURBOX,Voyager I5 3470 16gb Ram 1tb Ssd 4gb Gt740 23.6 Monitör Oyuncu Masaüstü Bilgisayarı,1,11,5.0,11.399 TL,1 TB,16 GB,1 TB,Intel Core i5,Harici,4,,3.00 GHz üstü,DDR3,250 - 350 W,4 GB ve altı,Free Dos,DDR3,,,Nvidia Geforce GT 740,3.2,Yok,Var,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,HDD Yok,22 - 24 inç,1920 x 1080,,,75 Hz,,,,,,,Full HD (FHD),,,,,
CASPER,Nirvana X600.1155-8V00X-G-F Intel Core i5-1155G7 8 GB RAM 500GB NVME SSD GEN4 Freedos,30,46,4.1,16.199 TL,500 GB,8 GB,,Intel Core i5,Dahili,4,8 GB,,DDR4,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Intel XE Graphics,,,,Casper Türkiye Garantili,Q Türkçe (Aydınlatmasız),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,60 Hz,1155G7,11. Nesil,Yok,,Gri,,Full HD (FHD),,,,,
ASUS,"Vivobook 15 Intel Core i5 1235U 16GB 512GB SSD Frds 15.6"" FHD Bilgisayar Csrtech Çanta Hediye",1,2,5.0,20.499 TL,512 GB,16 GB,,Intel Core i5,Dahili,10,40 GB,,DDR4,,Paylaşımlı,Free Dos,Dahili,HDMI - USB,2 kg ve altı,Intel UHD Graphics,3.3,Yok,,Asus Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,4-6 Saat,60 Hz,1235U,12. Nesil,Yok,IPS,Lacivert,4.4,Full HD (FHD),,,,,
MONSTER,"Huma H4 V4.1 Intel Core I7-1165g7 16gb Ram 500gb Ssd Freedos 14.1"" Fhd",10,31,4.6,39.999 TL,512 GB,16 GB,,Intel Core i7,Dahili,4,64 GB,,DDR4,,Paylaşımlı,Free Dos,DDR4,Bluetooth,2 kg ve altı,Intel Iris Graphics,2.8,Yok,,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,HDD Yok,"14,1 inç",1920 x 1080,Ofis - İş,,Belirtilmemiş,1165G7,11. Nesil,Yok,IPS,Gri,,Full HD (FHD),,,,,
ACER,"A315-59 I5-1235u 8gb 512ssd 2gb mx550 15,6 Fhd Win 11 Laptop Mor",11,13,4.8,19.899 TL,512 GB,8 GB,,Intel Core i5,Dahili,10,,,DDR4,,4 GB ve altı,Windows,GDDR6,Bluetooth - USB,2 kg ve altı,Dahili Ekran Kartı,,Yok,,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,512 GB,"15,6 inç",1920 x 1080,Ofis - İş,,Belirtilmemiş,1235U,12. Nesil,Yok,,Mor,,Full HD (FHD),,,,,
ASUS,"ROG Zephyrus G14 GA403 GA403UV-QS133 8GB RTX4060 Ryzen 9 8945HS 16GB RAM 1TB SSD 14""OLED 120Hz",2,2,4.5,74.999 TL,1 TB,16 GB,,AMD Ryzen 9,Harici,8,,,LPDDR5X,,8 GB,Free Dos,GDDR6,Bluetooth - HDMI,2 kg ve altı,Nvidia GeForce RTX 4060,,,,Asus Türkiye Garantili,Q Türkçe (Aydınlatmasız),2 Yıl,HDD Yok,14 inç,2880 x 1800,Oyun,,120 Hz,8945HS,8. Nesil,Yok,OLED,Beyaz,,Full HD (FHD),,,,,
LENOVO,IdeaPad 3 AMD Ryzen 7 5700u Laptop 512 GB SSD Freedos 15.6'',50,129,4.3,17.999 TL,512 GB,8 GB,,AMD Ryzen 7,Dahili,8,,,DDR4,,Paylaşımlı,Free Dos,Belirtilmemiş,,2 kg ve altı,AMD Radeon Graphics,,Yok,,Lenovo Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ev - Okul,,60 Hz,5700U,5. Nesil,Yok,,Gri,,Full HD (FHD),,,,,
IZOLY,"Streamer I5 10400f 16gb 512gb M.2 Nvme Rtx2060s 8gb 24"" 24"" Masaüstü Oyuncu Bilgisayarı",12,96,4.6,30.599 TL,,,Yok,Intel Core i5,Harici,6,32 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR6,HDMI,4 kg ve üzeri,Nvidia GeForce RTX3060,2.9,Yok,Var,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,,"24"" / 61 Ekran",1920 x 1080,,,100 Hz,,,,TN,,,Full HD (FHD),,,,,
LENOVO,"V15 G3 Intel Core i5 1235U 16 GB 1 TBSSD 15.6"" FHD Freedos 82TT00HDTRAR13",1,9,5.0,17.599 TL,1 TB,16 GB,,Intel Core i5,Dahili,10,16 GB,,DDR4,,Paylaşımlı,Free Dos,Belirtilmemiş,Bluetooth - HDMI,2 - 4 kg,Intel Iris Graphics,1.3,Yok,,Resmi Distribütör Garantili,Q Türkçe (Aydınlatmasız),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,144 Hz,1235U,12. Nesil,Yok,TN,Siyah,,Full HD (FHD),,,,,
Zeiron,"xTreme V1 Ryzen 7 5700X 16GB RAM 1TB M.2 Nvme SSD Gtx1660 6GB 24"" 165Hz Oyuncu Masaüstü Bilgisayar",1,7,5.0,,1 TB,16 GB,1 TB,AMD Ryzen 7,Harici,8,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR6,Display Port,4 kg ve üzeri,Nvidia GeForce GTX1660 SUPER,3.4,Yok,Var,Zeiron Türkiye Garantili,Yok,2 Yıl,HDD Yok,"24"" / 61 Ekran",3840 x 2160,,,165 Hz,,,,VA,,,Full HD (FHD),,,,,
OEM,48 Çekirdekli Xeon E5 2670v3 Işlemci 128 Gb Ddr4 Ram Rtx 3060 12 Gb 192 Bit Workstation,1,5,5.0,"48.999,99 TL",512 GB,128 GB,512 GB,Intel Xeon,Harici,,128 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR5X,HDMI,4 kg ve üzeri,AMD Radeon RX 570,3 - 4,,Var,İthalatçı Garantili,,,128 GB,,,Tasarım,,,,,,,Siyah,,,,,,,
HP,"250 G9 I5-1235u 32gb 1tb Ssd 15.6"" Fhd Windows 11 Home Taşınabilir Bilgisayar 723p9ea 7",2,6,5.0,22.499 TL,1 TB,32 GB,,Intel Core i5,Dahili,10,8 GB,,DDR4,,Paylaşımlı,Windows,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,Dahili Ekran Kartı,1.3,Yok,,Resmi Distribütör Garantili,Q Türkçe (Aydınlatmalı),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,60 Hz,1235U,12. Nesil,Yok,VA,Gri,,Full HD (FHD),,,,,
IZOLY,"Nymph X Ryzen 5 4600g 16gb 512gb M.2 Nvme 24"" Oyuncu Masaüstü Bilgisayarı",1,5,5.0,"20.260,23 TL",512 GB,16 GB,Yok,AMD Ryzen 5,Dahili,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,6 GB,Free Dos,Dahili,HDMI,,Dahili Ekran Kartı,3.7,Yok,Var,İzoly Türkiye Garantisi,Q Türkçe,2 Yıl,HDD Yok,"24"" / 61 Ekran",1920 x 1080,,,100 Hz,,,,,,,Full HD (FHD),,,,,
Dell,Vostro 3515-fbr332f42n R3-3250u 4g 256g Ssd 15.6 Fhd Ubuntu Dizüstü Bilgisayar,9,18,3.9,13.999 TL,256 GB,4 GB,,AMD Ryzen 3,Dahili,2,16 GB,,DDR4,,Paylaşımlı,Free Dos,Belirtilmemiş,HDMI,2 kg ve altı,Dahili Ekran Kartı,2.6,Yok,,Resmi Distribütör Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ev - Okul,6 Saat ve Üstü,60 Hz,Belirtilmemiş,3. Nesil,Yok,VA,Siyah,3.5,Full HD (FHD),,,,,
Zeiron,"Zgx25 Ryzen 5 3600 32GB 3200MHz Ram 512GB SSD RX550 GDDR5 23.8"" Curved Oyuncu Masaüstü Bilgisayar",836,3271,4.6,,512 GB,32 GB,512 GB,AMD Ryzen 5,Harici,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,4 GB ve altı,Free Dos,DDR4,HDMI,4 kg ve üzeri,AMD Radeon RX 550,3.6,Yok,Var,Zeiron Türkiye Garantili,RGB,2 Yıl,HDD Yok,"24"" / 61 Ekran",1920 x 1080,,,75 Hz,,,,VA,,,Full HD (FHD),,,,,
ASUS,X515MA-EJ679W-01 Celeron N4020 8GB 128GB SSD 15.6'' W11,4,16,3.5,9.999 TL,128 GB,8 GB,,Intel Celeron,Dahili,2,,,DDR4,,Paylaşımlı,Windows,Dahili,Bluetooth - HDMI,2 kg ve altı,Intel UHD Graphics,,,,Asus Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ev - Okul,,60 Hz,N4020,4. Nesil,Yok,,Gri,,Full HD (FHD),,,,,
IZOLY,"Kadabra X I5-12400f 16gb 256gb M.2 Nvme Rx 580 8gb 24"" Oyuncu Masaüstü Bilgisayarı",1,2,5.0,"21.088,55 TL",256 GB,16 GB,Yok,Intel Core i5,Harici,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR5,HDMI,2 - 4 kg,AMD Radeon RX 580,2.5,Yok,Var,İzoly Türkiye Garantisi,Q Türkçe,2 Yıl,HDD Yok,"24"" / 61 Ekran",1920 x 1080,,,,,,,VA,,,,,,,,
Zeiron,"Tx90 i5-3470 16GB 256GB SSD+500GB HDD GT740 23.8"" Curved Oyuncu Masaüstü Bilgisayarı",47,141,4.6,11.999 TL,256 GB,16 GB,500 GB,Intel Core i5,Harici,4,16 GB,3.00 GHz üstü,,350 - 500 W,4 GB ve altı,Free Dos,DDR3,Wi-Fi,2 - 4 kg,Nvidia Geforce GT 740,3.2,Yok,Var,Zeiron Türkiye Garantili,RGB,2 Yıl,500 GB,"24"" / 61 Ekran",1920 x 1080,,,75 Hz,,,,TN,,,Full HD (FHD),Tek Ebat,,,,
Zeiron,"Sp12 I5-3470 16gb 1tb Ssd+500gb Hdd Gtx1050ti 23.8"" Curved Oyuncu Masaüstü Bilgisayar",8,43,5.0,14.923 TL,1 TB,16 GB,500 GB,Intel Core i5,Harici,4,16 GB,3.00 GHz üstü,,500 W ve üstü,4 GB ve altı,Free Dos,GDDR5,HDMI,4 kg ve üzeri,Nvidia GeForce GTX1050 Ti,3.2,Yok,Var,Zeiron Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,22 - 24 inç,1920 x 1080,Oyun,,75 Hz,İ5-3470,3. Nesil,,TN,Siyah,,Full HD (FHD),,,,,
ASUS,"K3605Zf Intel i5-12500H 8GB RAM 512 GB SSD Nvidia Geforce RTX 2050 16"" W11 Siyah Notebook",2,2,5.0,28.999 TL,512 GB,8 GB,,Intel Core i5,Dahili,Belirtilmemiş,,,Birleşik Bellek,,Paylaşımlı,Windows,Dahili,Bluetooth,2 - 4 kg,Nvidia GeForce RTX 2050,,,,Asus Türkiye Garantili,Q Türkçe,2 Yıl,HDD Yok,16 inç,1920 x 1280,Ofis - İş,,Belirtilmemiş,12500H,Belirtilmemiş,Yok,,Siyah,,Full HD (FHD),,,,,
DRAGOS,DRx6746 i5 11400F 16GB DDR4 1TB SSD 8GB RTX4060 27 inç Curved Monitör Oyuncu Bilgisayarı,2,16,5.0,28.999 TL,1 TB,16 GB,1 TB,Intel Core i5,Harici,6,,,DDR4,,,Free Dos,GDDR6,,,Nvidia GeForce RTX 4060,,Yok,,Resmi Distribütör Garantili,,2 Yıl,HDD Yok,,,,,,,,,,,,,,,,,
Game Garaj,"Slayer2 D5 7xl-3060 C2 Intel I7 12700h 32gb Ram 1tb Ssd Rtx3060 17.3"" Ips 144hz Freedos Bilgisayar",4,14,4.5,,1 TB,32 GB,,Intel Core i7,Harici,14,64 GB,,DDR5,,6 GB,Free Dos,GDDR6,USB - Bluetooth - HDMI,2 kg ve altı,Nvidia GeForce RTX3060,3.5,,,Game Garaj Türkiye Garantili,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,HDD Yok,"17,3 inç",1920 x 1080,Oyun,3 Saat ve Altı,144 Hz,12700H,12. Nesil,Yok,IPS,Siyah,4.7,Full HD (FHD),,,,,140W
ACER,"Aspire 3 A315-24p-r808 Nx.kjeey.001 Ryzen5 7520u 8gb 512ssd 15.6"" Fullhd Freedos Taşınabilir Bi",3,4,4.3,17.999 TL,512 GB,8 GB,,AMD Ryzen 5,Dahili,4,,,DDR5,,Paylaşımlı,Free Dos,Dahili,USB - Bluetooth - HDMI,2 kg ve altı,AMD Radeon Graphics,,,,Resmi Distribütör Garantili,Q Türkçe (Aydınlatmasız),2 Yıl,HDD Yok,"15,6 inç",1920 x 1080,Ofis - İş,,60 Hz,7520U,7. Nesil,Yok,,Mavi,,Full HD (FHD),,,,,
